21
1.064093000, 2834.674842000
23.168376000, 475.978798000
235.930569000, 26.148188000
1310.509072000, 9.254183000
3860.942323000, 0.884930000
9373.438158000, 1.508645000
9571.236853000, 52.139941000
9812.907075000, 181.038233000
9961.505476000, 273.069236000
9976.507138000, 653.775756000
9994.285953000, 2034.942352000
9998.925658000, 4479.856157000
9993.158181000, 9131.280482000
9950.296678000, 9666.561591000
9919.375745000, 9836.985659000
9549.993197000, 9964.525022000
9176.893546000, 9989.852818000
7513.794282000, 9998.398442000
857.394831000, 9996.807957000
88.998603000, 9920.058446000
4.615249000, 7625.808432000
0.001275844
