29
0.014908000, 395.349359000
0.077473000, 846.035188000
0.205307000, 928.591823000
0.438269000, 977.733536000
0.862484000, 984.661000000
1.021235000, 986.528383000
4.419708000, 995.713564000
9.190667000, 997.356837000
16.602421000, 998.718577000
40.096929000, 999.814678000
45.111643000, 999.850370000
54.021039000, 999.907211000
142.037747000, 999.953458000
955.238757000, 999.959350000
996.214827000, 998.897944000
996.270349000, 998.831287000
999.012385000, 990.494212000
999.767002000, 853.106857000
999.981529000, 805.311310000
999.926204000, 50.425802000
999.851356000, 11.813190000
995.706859000, 1.994700000
993.564656000, 1.245775000
986.834690000, 0.852622000
956.753507000, 0.496684000
887.003132000, 0.046378000
114.072775000, 0.012652000
0.069575000, 0.065948000
0.009290000, 0.212740000
0.033249951
