28
3.158444000, 99.999305000
2.348488000, 99.994986000
0.293256000, 99.789193000
0.103263000, 99.087603000
0.027376000, 94.668694000
0.015855000, 92.920077000
0.004841000, 81.583059000
0.000678000, 8.392776000
0.024921000, 3.950170000
0.078681000, 0.136261000
0.636976000, 0.007978000
5.860376000, 0.006855000
62.555202000, 0.003684000
79.957017000, 0.004268000
95.374570000, 0.008958000
98.416857000, 0.021418000
99.726241000, 0.111793000
99.831498000, 0.129975000
99.962035000, 0.254844000
99.986032000, 3.675274000
99.991473000, 4.884049000
99.993116000, 5.519459000
99.999462000, 19.672733000
99.999444000, 89.203315000
99.983773000, 94.407276000
99.956015000, 98.755207000
99.674533000, 99.857419000
97.329050000, 99.998200000
0.184452640
